Time,OK_B100
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0.006
10,0.018
11,0.048
12,0.264
13,0.918
14,1.968
15,3.312
16,4.98
17,7.422
18,11.292
19,17.424
20,25.572
21,35.454
22,46.512
23,58.746
24,72.606
25,88.002
26,104.742
27,123.696
28,144.27
29,164.064
30,182.874
31,201.642
32,221.346
33,240.522
34,263.802
35,286.98
36,319.854
37,330.684
38,342.744
39,357.27
40,371.502
41,385.764
42,394.968
43,399.888
44,400.398
45,397.452
46,394.164
47,390.57
48,384.972
49,376.644
50,371.358
51,367.284
52,363.642
53,361.2
54,357.858
55,354.918
56,352.674
57,350.742
58,349.176
59,348.168
60,347.64
61,347.376
62,347.178
63,346.992
64,346.842
65,346.77
66,346.746
67,346.704
68,346.698
69,346.83
70,347.136
71,347.718
72,348.408
73,348.798
74,348.882
75,348.93
76,349.152
77,349.338
78,349.326
79,349.272
80,349.254
81,349.182
82,348.996
83,348.714
84,348.39
85,348.024
86,347.574
87,347.04
88,346.44
89,345.804
90,345.114
91,344.328
92,343.422
93,342.462
94,341.454
95,340.434
96,339.414
97,338.424
98,337.38
99,336.204
100,334.962
101,333.744
102,332.514
103,331.254
104,329.982
105,328.686
106,327.336
107,325.926
108,324.432
109,322.83
110,321.132
111,319.344
112,317.376
113,315.078
114,311.958
115,308.988
116,305.658
117,302.226
118,296.442
119,291.798
120,288.132
121,285.108
122,282.396
123,279.852
124,277.266
125,274.698
126,272.01
127,269.07
128,266.352
129,260.472
130,254.4
131,248.7
132,243.468
133,238.56
134,234.144
135,230.058
136,226.08
137,222.27
138,218.502
139,214.86
140,211.272
141,207.786
142,204.426
143,201.276
144,198.348
145,195.612
146,193.032
147,190.548
148,188.106
149,185.706
150,183.366
151,181.02
152,178.644
153,176.094
154,173.46
155,170.922
156,168.462
157,166.032
158,163.632
159,161.304
160,159.066
161,156.924
162,154.794
163,152.976
164,151.056
165,149.196
166,147.408
167,146.442
168,146.388
169,144.45
170,141.366
171,138.576
172,135.972
173,133.536
174,131.124
175,128.562
176,125.922
177,123.45
178,121.194
179,119.256
180,117.63
181,115.71
182,113.838
183,112.302
184,110.988
185,109.812
186,108.726
187,107.688
188,106.704
